web-scraper-order,web-scraper-start-url,pagination,pagination-href,pr_url,pr_url-href,title,body,date,issues,transcript
"1528294680-187","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=12","Walker Releases Statement on U.N. Passage of Anti-Israel Resolution","https://walker.house.gov/media-center/press-releases/walker-releases-statement-un-passage-anti-israel-resolution","Walker Releases Statement on U.N. Passage of Anti-Israel Resolution","WASHINGTON, D.C. – U.S. Representative Mark Walker (NC-06) today released the following statement after the Obama Administration refused to veto an anti-Israeli resolution in the United Nations (U.N.) Security Council: 

""Today, the Obama Administration exhibited the same political courage that has for eight years made the world a more dangerous place. The same Administration that last week called shame on those not moved by the struggle in Syria, has now emboldened the Palestinians and passively let an anti-Israeli bill pass the U.N. Security Council. We cannot continue to denigrate our strongest ally and the only true democracy in the Middle East.""


	""January 20th will be a new day to right the wrongs of this Administration. For the sake of peace and security in the world, we must begin to lead from the front, and not from behind.""","December 23, 2016","Security","null"
"1528294559-118","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=7","Walker on Hurricane Harvey Aid Vote: This and Future Aid Needs To Be Offset and Clean","https://walker.house.gov/media-center/press-releases/walker-hurricane-harvey-aid-vote-and-future-aid-needs-be-offset-and","Walker on Hurricane Harvey Aid Vote: This and Future Aid Needs To Be Offset and Clean","WASHINGTON, D.C. – U.S. Representative Mark Walker (R-N.C.) today released the following statement after voting in favor of the House-passed disaster relief funding for Hurricane Harvey recovery efforts:

""Congress has a duty to act responsibly while showing compassion and lending a helping hand to those in need. Today, the House voted promptly to help the people of Texas continue recovery in the aftermath of Hurricane Harvey, but did so without any foresight into how to prepare for predictable disasters in the future. This $7.85 billion in aid, and all future aid, needs to be offset and voted on cleanly – not filled with special interests favors and political games that delays people from getting the help they need.""

In the near future, Congress should expect multiple additional request in response to Hurricane Harvey, Hurricane Irma, and other natural disasters. While this initial funding for Hurricane Harvey relief was urgently needed to continue life-saving operations in Texas, this process should not be a blueprint for addressing and preparing for other aid bills.","September 6, 2017","Accountability","null"
"1528294927-334","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=23","Bringing Awareness to Action: Walker Launches H.O.P.E. Commission","https://walker.house.gov/media-center/press-releases/bringing-awareness-action-walker-launches-hope-commission","Bringing Awareness to Action: Walker Launches H.O.P.E. Commission","GREENSBORO, NC â€“  With Reverend Odell Cleveland and Debbie Tuggle serving as co-chairs, U.S. Representative Mark Walker (NC-06) has launched the Healthcare, Opportunity, Poverty and Education (H.O.P.E.) Commission â€“ a non-partisan, volunteer board comprised of non-profit and community leaders aimed at applying their expertise and knowledge to issues that face the underserved and underprivileged in the 6th District and surrounding areas.","April 28, 2015","Education and Opportunity",""
"1528294750-223","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=15","Walker: It's Time for Congress to Reassert Its Authority and Bring Accountability Back to the Regulatory Process","https://walker.house.gov/media-center/press-releases/walker-its-time-congress-reassert-its-authority-and-bring-accountability","Walker: It's Time for Congress to Reassert Its Authority and Bring Accountability Back to the Regulatory Process","WASHINGTON, D.C. – Today, U.S. Representative Mark Walker (NC-06), spoke at a press conference with Senator Mike Lee, Representative Jeb Hensarling and Representative Dave Brat as he introduced H.R. 5319, the Article I Regulatory Budget Act.","May 25, 2016","Accountability",""
"1528294856-294","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=20","Walker Stands Firm Against Spending Bill","https://walker.house.gov/media-center/press-releases/walker-stands-firm-against-spending-bill","Walker Stands Firm Against Spending Bill","WASHINGTON, DC â€“ U.S. Representative Mark Walker (NC-06) voted against a Senate version of a federal government spending bill today, citing multiple objections to the policies the bill continues, including Obamacare, President Obamaâ€™s de facto amnesty, and Planned Parenthoodâ€™s taxpayer funding.","September 30, 2015","Accountability","null"
"1528294471-54","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=3","Walker Honors Veteran and NC Pet Partners Volunteer J.R. Poe and Buddy as Community Heroes of the Month","https://walker.house.gov/media-center/press-releases/walker-honors-veteran-and-nc-pet-partners-volunteer-jr-poe-and-buddy","Walker Honors Veteran and NC Pet Partners Volunteer J.R. Poe and Buddy as Community Heroes of the Month","(Pictured above from left to right by volunteer and service dog: Janice Kincaid and Bentley, Jan Donahue and Jamie, Karen Gibson and Piper, J.R. Poe and Buddy, Melissa Wright and Lexi, Eileen Shannon and Molly, Linda Martin and Jill, and Koda and Robin Williams.)","February 16, 2018","",""
"1528294758-228","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=15","Rep. Walker Questions FBI Director James Comey on Clinton Investgation","https://walker.house.gov/media-center/press-releases/rep-walker-questions-fbi-director-james-comey-clinton-investgation","Rep. Walker Questions FBI Director James Comey on Clinton Investgation","WASHINGTON, D.C. – U.S. Representative Mark Walker (NC-06), a member of the House Oversight and Government Reform Committee, today questioned Director James Comey on the FBI’s investigation into Secretary Hillary Clinton’s mishandling of classified information and the decision to not suggest a prosecution.","July 7, 2016","Accountability","I’m a little disappointed in some of the things I have heard from my colleagues about some of the attacks on your character and your integrity. I haven’t heard those and I hope that you have not experienced that."
"1528294733-214","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=14","Walker Releases Statement on NCAA Decision to Pull Tournaments Out Of North Carolina","https://walker.house.gov/media-center/press-releases/walker-releases-statement-ncaa-decision-pull-tournaments-out-north","Walker Releases Statement on NCAA Decision to Pull Tournaments Out Of North Carolina","WASHINGTON, D.C. – U.S. Representative Mark Walker (NC-06) released the following statement after the NCAA announced they would pull all championship tournaments for the 2016-2017 academic year out of North Carolina because of a law that reaffirmed the longstanding definition of Title VII and IX’s protections related to “sex”:

""The NCAA relocating championships is disappointing and perplexing. Greensboro and the State of North Carolina have a distinguished record of hosting NCAA events, providing a safe, respectful and inclusive environment for athletes and fans.

""We will not be intimidated by elitists who are attempting to extort and embarrass North Carolina for defending its citizens. If the NCAA wants to refuse to hold the tournament in the state with one of the richest collegiate sports histories and the fastest growing economy in the nation, that is their decision. For us, the privacy, safety and dignity of our women and children do not have a price tag.

""The NCAA has chosen Vermont and Connecticut over North Carolina – perhaps unsurprising given Mark Emmert’s background. The NCAA should care more for their student athletes and fans than they do about political posturing.""","September 13, 2016","","null"
"1528294810-262","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=18","Walker Takes Action to Fight Terrorism","https://walker.house.gov/media-center/press-releases/walker-takes-action-fight-terrorism","Walker Takes Action to Fight Terrorism","WASHINGTON, DC â€“ U.S. Representative Mark Walker (NC-06) has introduced the Define It to Fight It Act, a bill that withholds ten percent of United States funding to the United Nations until the intergovernmental organization adopts a definition for â€œinternational terrorism.â€","November 23, 2015","Foreign Affairs","The Define It to Fight It Act (H.R. 4123) introduced by Rep. Walker last week withholds ten percent of U.S. contributions to the U.N. each year until a definition of â€œinternational terrorismâ€ is adopted. Contributions withheld go directly to the U.S. Treasury for debt reduction."
"1528294487-64","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=4","Walker Introduces Bill to Help Businesses and Force Government Agencies to Post Regulatory Guidance Documents Online","https://walker.house.gov/media-center/press-releases/walker-introduces-bill-help-businesses-and-force-government-agencies","Walker Introduces Bill to Help Businesses and Force Government Agencies to Post Regulatory Guidance Documents Online","WASHINGTON, D.C. – U.S. Representative Mark Walker (R-N.C.) today introduced the Guidance Out Of Darkness (GOOD) Act. This legislation would increase government accountability and transparency, while lessening the burden on small businesses by requiring federal agencies to post regulatory guidance documents online in an easy to find location. The bill is a House companion to S.2296, introduced by U.S. Senator Ron Johnson (R-Wis.).
 
To circumvent responsibility and the legal rule-making process, the previous Administration had federal agencies issue ""guidance"" to serve as de facto regulations.


	""The Obama Administration made an art of evading public scrutiny by replacing formal rule-making with a stream of 'guidance,' 'bulletins' and 'statements of policy,'"" The Wall Street Journal wrote.


	While the regulations themselves were often erroneous and harmful to businesses, they also created undue burden in compliance as the guidance took on many different forms – blog posts, memos, letters, and news releases.


	The GOOD Act would bring clarity to the process by forcing all federal agencies to publish guidance documents on their website.

""Our out-of-control regulatory system represents roughly $2 trillion in cost on the economy and American small businesses every single year,"" Walker said. ""Worse yet, federal agencies are going around the rule-process to avoid accountability and oversight. If agencies expect the small businesses of North Carolina to comply with their burdensome rules, they should at a minimum make the information available and easily accessible.""

“In addition to facing onerous federal regulations, American businesses are also expected to follow regulatory guidance issued by agencies,"" Johnson said. ""Yet, unlike the public rule-making process for regulations, federal agencies are not required to disseminate guidance broadly to the public for input, making it hard for businesses and industry groups to monitor and follow. This bill will lift the veil of secrecy by requiring federal agencies to post regulatory guidance documents in a centralized location on their websites. This common sense bill would provide much needed transparency to American businesses and consumers.”

The GOOD Act has received praise from Competitive Enterprise Institute (CEI). ""Requiring vastly more disclosure, ensuring that federal agencies post all guidance documents online is a sensible and essential step to beginning to hold federal agencies accountable for their actions,"" Clyde Wane Crews, vice president for policy at CEI said.

Read the full text of the GOOD Act here.","January 16, 2018","Jobs and Economic Growth","null"
"1528294991-390","https://walker.house.gov/media-center/press-releases","null","https://walker.house.gov/media-center/press-releases?page=26","","","","","","",""
"1528294496-69","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=4","Walker Refuses Salary During Government Shutdown","https://walker.house.gov/media-center/press-releases/walker-refuses-salary-during-government-shutdown","Walker Refuses Salary During Government Shutdown","WASHINGTON, D.C. – U.S. Representative Mark Walker (R-N.C.) today sent a letter to Philip G. Kiko, the Chief Administrative Officer of the U.S. House of Representatives, refusing his salary for the duration of the government shutdown.","January 20, 2018","Accountability","I have been informed that despite a lapse of appropriations and current government shutdown, Members of Congress will continue receiving their salary."
"1528294557-117","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=7","Walker on McConnell-Schumer Spending Deal: The Swamp Waters in DC Keep Rising","https://walker.house.gov/media-center/press-releases/walker-mcconnell-schumer-spending-deal-swamp-waters-dc-keep-rising","Walker on McConnell-Schumer Spending Deal: The Swamp Waters in DC Keep Rising","WASHINGTON, D.C. – U.S. Representative Mark Walker (R-N.C.) today joined Harris Faulkner of Fox News to discuss a reported deal between Senate Majority Leader Mitch McConnell (R-Ky.) and Senate Minority Leader Chuck Schumer (D-N.Y.) to combine Hurricane Harvey emergency aid funding with an increase in the debt limit and a continuing resolution spending bill.","September 5, 2017","Spending Cuts and Debt","null"
"1528294812-265","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=18","Walker Applauds Senate for Obamacare Repeal","https://walker.house.gov/media-center/press-releases/walker-applauds-senate-obamacare-repeal","Walker Applauds Senate for Obamacare Repeal","WASHINGTON, DC â€“ U.S. Representative Mark Walker (NC-06) released the following statement in response to the passage of a budget reconciliation bill in the U.S. Senate yesterday evening, which repealed significantly more of the Affordable Care Act (Obamacare) than the reconciliation bill passed by the U.S. House in October.","December 4, 2015","Health Care","House Leadershipâ€™s attempts to blame the Senateâ€™s â€œByrd Ruleâ€ for their unwillingness to take tough votes and really push for full repeal were exposed with yesterdayâ€™s vote in the Senate. The Senate bill cuts five times more funding and repeals six times more of Obamacareâ€™s taxes that are crippling small businesses and hindering our economy."
"1528294647-171","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=11","ICYMI: Walker Joins Fox News to Talk About the RSC Obamacare Repeal and Replace Plan","https://walker.house.gov/media-center/press-releases/icymi-walker-joins-fox-news-talk-about-rsc-obamacare-repeal-and-replace","ICYMI: Walker Joins Fox News to Talk About the RSC Obamacare Repeal and Replace Plan","GREENSBORO, N.C. – U.S. Representative Mark Walker (R-N.C.) today joined Fox News to discuss the Republican Study Committee's plan to repeal and replace Obamacare. The bill, the American Health Care Reform Act of 2017 (AHCRA), is sponsored by U.S. Representative Phil Roe (R-Tenn.) and was introduced in the House on Wednesday. 

“This narrative that is coming from our Democrat friends that we have not had any kind of repeal and replace is simply false,” Walker said. “Do we want to provide Americans the choice to make their own decisions regarding their health care or do we want bureaucracies and bureaucrats in DC to decide that? We are not going to be yanking the rug out from Americans. Our goal is to put together a plan that we actually read before we pass. That’s important and it takes some time.”

“It’s very important that we fulfill our promise to the American people,” Walker added. “We have got to earn back trust and credibility, and that comes with a full repeal of Obamacare.”


	You can watch the full interview above.","January 7, 2017","Health Care","null"
"1528294581-133","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=8","Walker Honors Caswell County Library Director Rhonda Griffin as June Community Hero of the Month","https://walker.house.gov/media-center/press-releases/walker-honors-caswell-county-library-director-rhonda-griffin-june","Walker Honors Caswell County Library Director Rhonda Griffin as June Community Hero of the Month","YANCEYVILLE, N.C. – U.S. Representative Mark Walker (R-N.C.) honored Caswell County’s Rhonda Griffin as the Sixth District Community Hero of the Month for June, 2017. 

Each month, Walker awards a constituent, business, or organization in his district for displaying extraordinary acts of service and for making a difference in the lives around them.

	 

	Rhonda Griffin has worked in public libraries for over 25 years, and has been the Library Director in Caswell County since 2010. She has proactively searched for ways to increase library resources and programs that directly benefit the community, with a special emphasis on the needs of young people. She’s worked hard to provide outdoor learning spaces with current technology, and has provided a teen space within the confines of a small library so that teens have a place to read, computers to use, and the opportunity to spend time in a safe, nurturing environment. Griffin also supervises Juvenile Crime Prevention Council Programs.  

“Rhonda has made a difference for the young people of Caswell County,"" Caswell County Manager Bryan Miller said. ""In addition to taking the initiative to find much needed resources, she provides stability for many young children and teenagers. She gives them hope and encouragement that they can succeed and get into college and she also started a tutoring program to assist children in need.”     

""We thank Rhonda Griffin for her tireless service to the people of Caswell County,"" Walker said. ""I’m inspired by her willingness to go the extra mile to make sure that our young people have everything they need for success.  Her impact on the community is evident and will be seen for many years to come.”   

Griffin was presented with a certificate and a flag flown over the U.S. Capitol.","June 12, 2017","","null"
"1528294881-311","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=21","Walker Votes to Unbury the American People from Unnecessary Regulations","https://walker.house.gov/media-center/press-releases/walker-votes-unbury-american-people-unnecessary-regulations","Walker Votes to Unbury the American People from Unnecessary Regulations","WASHINGTON, DC â€“U.S. Representative Mark Walker (NC-06) supported the House passage of H.R. 427, Regulations from the Executive in Need of Scrutiny Act, also known as the REINS Act. This bill curbs unnecessary regulations from unaccountable agencies.","July 29, 2015","Accountability","null"
"1528294787-247","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=17","Walker Statement on President's Veto of Obamacare Repeal","https://walker.house.gov/media-center/press-releases/walker-statement-presidents-veto-obamacare-repeal","Walker Statement on President's Veto of Obamacare Repeal","WASHINGTON, D.C. â€“ U.S. Representative Mark Walker (NC-06) released the following statement following President Obamaâ€™s veto of The Restoring Americansâ€™ Healthcare Freedom Reconciliation Act, a bill that repealed the Affordable Care Act and defunded Planned Parenthood:","January 8, 2016","Accountability","null"
"1528294510-79","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=5","ICYMI: Procter and Gamble Plant Managers: ""Tax Bill Will Level the Field for Greensboro, Too""","https://walker.house.gov/media-center/press-releases/icymi-proctor-and-gamble-plant-managers-tax-bill-will-level-field","ICYMI: Procter and Gamble Plant Managers: ""Tax Bill Will Level the Field for Greensboro, Too""","GREENSBORO, N.C. – Kevin Hazel and John Sorjonen, plant managers of the Procter & Gamble manufacturing facilities in Greensboro, on Sunday penned a piece for theGreensboro News and Record highlighting the impact the Tax Cuts and Jobs Act and the efforts of tax reform by U.S. Representative Mark Walker and the United States Congress will have on Greensboro's economy.

As Hazel and Sorjonen write, ""a tax system with a 20 percent corporate tax rate and a modern territorial tax system will boost economic growth here at home and level the playing field for U.S. businesses and workers — including P&G’s U.S. employees here in Greensboro.""

Read the op-ed in its entirety here and below:

Congress is in the midst of moving a tax bill that is essential to the United States’ economic future. Allow us an opportunity to introduce some facts on why it is so important to our company, our workers and our community.


	Procter & Gamble sells consumer products in more than 180 countries and territories. We have 25 manufacturing sites located in 19 U.S. states and territories, as well as nearly 90 manufacturing sites in foreign countries, where we manufacture products close to the consumers we serve worldwide.


	Here in Greensboro, we proudly employ nearly 1,200 people between two manufacturing facilities. Within North Carolina, P&G purchases about $995 million of products and services from more than 495 suppliers.


	At P&G, we believe tax reform is crucial for both our company and our country. Why? The U.S. tax system puts American companies at a competitive disadvantage in the global marketplace. P&G has been a global company for more than 100 of our 180 years. In fact, one in five of P&G’s U.S.-based jobs support our international business, in areas such as manufacturing, marketing, innovation and supply chain management.


	So, when P&G succeeds in international markets, it means we succeed here at home, too.


	However, the U.S. corporate tax rate is among the highest in the developed world at 35 percent. The current global average for developed countries is about 24 percent, and countries are lowering their rates further, creating a downward trend. This makes it harder for P&G and other U.S.-headquartered businesses — small and large — to compete with peer companies headquartered overseas. It also reduces the competitiveness of the U.S. economy as a place to do business and create jobs. The Congress is currently considering legislation that would lower the corporate tax rate to 20 percent.


	Congress is also considering legislation that would move the U.S. tax code from a worldwide corporate income tax system to what is known as a territorial tax system. This would help American companies, including P&G, compete on a level playing field. Unlike P&G, our competitors headquartered outside the United States — who already operate under a territorial system — do not pay additional tax to their home countries when they sell products outside their home countries. Because 60 percent of P&G’s sales are global, the current U.S. tax code puts us at a competitive disadvantage. Other American companies are in a similar position.


	As members of Congress debate whether or not to pass tax reform in the coming weeks, it is important to remember that economic growth and jobs in our community depend on having a competitive U.S. tax system. The details will matter, but a tax system with a 20 percent corporate tax rate and a modern territorial tax system will boost economic growth here at home and level the playing field for U.S. businesses and workers — including P&G’s U.S. employees here in Greensboro.","December 11, 2017","Tax Reform","null"
"1528294987-387","https://walker.house.gov/media-center/press-releases","next ›","https://walker.house.gov/media-center/press-releases?page=25","Walker, DeSantis Fight to Further Return Control of Education Back to States and Local Communities","https://walker.house.gov/media-center/press-releases/walker-fights-further-return-control-education-back-states-and-local","Walker, DeSantis Fight to Further Return Control of Education Back to States and Local Communities","WASHINGTON, DC â€“ U.S. Representative Mark Walker (NC-06) and U.S. Representative Ron DeSantis (FL-06) have introduced the Academic Partnerships Lead Us to Success (A-PLUS) amendment to H.R. 5 the Student Success Act. A-PLUS aims to restore state and local control of education by giving them the option to decline participation in the prescriptive and onerous requirements of federal education programs and focus that funding on solutions that meet their community needs.","February 24, 2015","Education and Opportunity","###"
